,German,English
0,Ich,I
1,ist,is
2,ich,I
3,nicht,not
4,Sie,She
5,du,you
6,das,the
7,die,the
8,es,it
9,und,and
10,der,the
11,zu,to
12,sie,she
13,Das,The
14,ein,a
15,in,in
16,wir,we
17,Du,You
18,mir,me
19,mit,with
20,Was,What
21,den,the
22,mich,me
23,was,What
24,auf,on
25,dass,that
26,er,he
27,eine,one
28,Es,It
29,hat,has
30,Wir,We
31,so,so
32,sind,are
33,von,from
34,dich,you
35,war,was
36,haben,have
37,für,for
38,Ja,Yes
39,hier,here
40,an,at
41,habe,have
42,Er,He
43,bin,am
44,wie,How
45,noch,still
46,dir,you
47,uns,us
48,sich,itself
49,Die,The
50,einen,a
51,Nein,No
52,dem,dem
53,ihn,him
54,auch,also
55,hast,have
56,sein,be
57,ihr,her
58,da,there
59,aus,out of
60,kann,can
61,aber,but
62,Aber,But
63,schon,already
64,wenn,if
65,wird,becomes
66,um,around
67,Wie,How
68,als,as
69,bist,are
70,im,in the
71,mal,just
72,doch,but
73,gut,good
74,meine,mine
75,jetzt,now
76,weiß,white
77,Wenn,If
78,werden,become
79,Der,The
80,nach,after
81,ja,Yes
82,Oh,Oh
83,oder,or
84,dann,then
85,will,want
86,mein,my
87,mehr,more
88,keine,no
89,etwas,something
90,alles,everything
91,muss,must
92,immer,always
93,nichts,nothing
94,man,man
95,wieder,again
96,bei,at
97,hab,have
98,machen,make
99,vor,before
100,Mann,Man
101,ihm,him
102,einem,one
103,tun,do
104,zum,for the
105,können,can
106,sagen,say
107,werde,become
108,denn,because
109,Ist,Is
110,Ein,A
111,Warum,Why
112,einer,one
113,gehen,go
114,sehen,see
115,sehr,very
116,geht,goes
117,alle,all
118,über,above
119,müssen,must
120,diese,this
121,einfach,simply
122,euch,you
123,des,of
124,nie,never
125,Also,So
126,Wo,Where
127,los,Come on
128,Zeit,Time
129,Ihnen,Them
130,wirklich,really
131,Hey,Hey
132,Danke,Thanks
133,deine,your
134,würde,would
135,soll,should
136,Da,There
137,hatte,had
138,Hier,Here
139,wissen,knowledge
140,bitte,please
141,viel,much
142,Dann,Then
143,So,So
144,gesagt,said
145,Ihr,Her
146,am,at the
147,kein,no
148,Komm,Come
149,Wer,Who
150,zurück,back
151,wurde,became
152,In,In
153,wollte,wanted
154,Frau,Woman
155,Leben,Life
156,wäre,were
157,wo,where
158,damit,with it
159,Nicht,Not
160,Gott,God
161,Leute,People
162,kannst,can
163,heute,today
164,meinen,mean
165,dieser,this
166,dein,your
167,kommt,comes
168,kommen,come
169,willst,want
170,Na,N/a
171,wollen,want
172,sicher,secure
173,ganz,quite
174,Jetzt,Now
175,Mein,My
176,Mr,Mr
177,also,so
178,zur,to
179,Hast,Have
180,Gut,Good
181,hätte,would have
182,weil,because
183,tut,does
184,Hallo,Hello
185,Okay,OK
186,macht,might
187,waren,were
188,bis,until
189,Vielleicht,Perhaps
190,könnte,could
191,Eine,One
192,Bitte,Please
193,weg,away
194,seine,his
195,lassen,let
196,Vater,Father
197,gesehen,seen
198,Nun,Well
199,gerade,straight
200,Alles,Everything
201,glaube,believe
202,Tag,Day
203,ab,away
204,Geld,Money
205,gemacht,made
206,nein,no
207,Sir,Sir
208,sollte,should
209,sagte,said
210,keinen,none
211,durch,through
212,zwei,two
213,diesen,this one
214,passiert,happened
215,wohl,probably
216,vielleicht,perhaps
217,ihre,her
218,Mutter,Mother
219,reden,talk
220,anderen,others
221,dachte,thought
222,daß,that
223,möchte,want
224,wirst,will
225,gehört,heard
226,Keine,No
227,raus,out
228,Meine,Mine
229,paar,couple
230,besser,better
231,ob,if
232,her,here
233,musst,must
234,Ordnung,Order
235,meiner,mine
236,klar,clear
237,ihnen,them
238,Los,Come on
239,diesem,this one
240,meinem,my
241,lange,long
242,Lass,Let
243,dieses,this
244,helfen,help
245,unsere,our
246,Weg,Away
247,selbst,himself
248,Nur,Only
249,Mal,Just
250,jemand,someone
251,denke,think
252,Ach,Oh
253,Nacht,Night
254,genau,Exactly
255,gar,even
256,sagt,says
257,Welt,World
258,Auf,On
259,Mädchen,Girl
260,ins,into the
261,hin,there
262,vom,from the
263,schön,nice
264,warum,Why
265,weiter,further
266,Leid,Sorrow
267,gleich,even
268,wer,who
269,Man,Man
270,ohne,without
271,Menschen,People
272,deinen,yours
273,leid,sorrow
274,Wieso,How come
275,dort,there
276,Als,As
277,Hause,home
278,sollten,should
279,davon,of that
280,zusammen,together
281,geben,give
